Location,Track Name,Length,Rain,Early Dawn,Dawn,Sunrise,Early Morning,Late Morning,Afternoon,Evening,Sunset,Twilight,Night,Midnight,Dirt/Snow
Europe,Circuit de Barcelona-Catalunya National Layout,1.85,,,,,Y,Y,Y,Y,Y,Y,Y,,
Europe,Circuit de Barcelona-Catalunya No Chicane,2.94,,,,,Y,Y,Y,Y,Y,Y,Y,,
Europe,Circuit de Barcelona-Catalunya Rallycross Layout (Dirt),0.7,,,,,Y,Y,Y,Y,Y,Y,Y,,
Europe,Circuit de Sainte-Croix Layout A,5.89,,,,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Circuit de Sainte-Croix Layout A Reverse,5.89,,,,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Circuit de Sainte-Croix Layout B,4.39,,,,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Circuit de Sainte-Croix Layout B Reverse,4.39,,,,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Circuit de Sainte-Croix Layout C,6.73,,,,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Circuit de Sainte-Croix Layout C Reverse,6.73,,,,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Circuit de Spa-Francorchamps 24h Layout,4.35,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Europe,Circuit de Spa-Francorchamps Full Course,4.35,Y,,,,Y,Y,Y,Y,,,,,
Americas,Colorado Springs Lake (Dirt),1.86,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Americas,Colorado Springs Lake Reverse (Dirt),1.86,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Americas,Daytona International Speedway Road Course,3.56,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Americas,Daytona International Speedway Tri-Oval,2.5,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Europe,Deep Forest Full Course,2.64,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Deep Forest Full Course Reverse,2.54,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Dragon Trail Gardens,2.7,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Dragon Trail Gardens Reverse,2.7,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Dragon Trail Seaside,3.24,,,,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Dragon Trail Seaside Reverse,3.24,,,,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Eiger Nordwand Full Course,1.51,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Eiger Nordwand Full Course Reverse,1.51,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Americas,Fishermans Ranch Full Course (Dirt),4.28,,,,,Y,Y,Y,Y,Y,Y,,,Y
Americas,Fishermans Ranch Full Course Reverse (Dirt),4.28,,,,,Y,Y,Y,Y,Y,Y,,,Y
Asia-Oceania,Fuji International Speedway Full Course,2.84,Y,,,,Y,Y,Y,Y,Y,,,,
Asia-Oceania,Fuji International Speedway Short Course,2.81,Y,,,,Y,Y,Y,Y,Y,,,,
Europe,Goodwood Full Course,2.37,,,,,Y,Y,Y,Y,Y,,,,
Americas,Grand Valley - Highway 1,3.17,,,,Y,Y,Y,Y,Y,Y,Y,Y,,
Americas,Grand Valley - Highway 1 Reverse,3.17,,,,Y,Y,Y,Y,Y,Y,Y,Y,,
Americas,Grand Valley - South,1.91,,,,Y,Y,Y,Y,Y,Y,Y,Y,,
Americas,Grand Valley - South Reverse,1.91,,,,Y,Y,Y,Y,Y,Y,Y,Y,,
Asia-Oceania,High Speed Ring Full Course,2.7,Y,,,Y,Y,Y,Y,Y,Y,Y,,,
Asia-Oceania,High Speed Ring Full Course Reverse,2.7,Y,,,Y,Y,Y,Y,Y,Y,Y,,,
Asia-Oceania,Kyoto Driving Park Miyabi,1.21,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Asia-Oceania,Kyoto Driving Park Yamagiwa,3.05,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Asia-Oceania,Kyoto Driving Park Yamagiwa + Miyabi,4.25,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Asia-Oceania,Kyoto Driving Park Yamagiwa + Miyabi Reverse,4.25,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Asia-Oceania,Kyoto Driving Park Yamagiwa Reverse,3.05,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Americas,Michelin Raceway Road Atlanta,2.54,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Asia-Oceania,Mount Panorama Circuit Full Course,3.86,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Americas,Northern Isle Speedway Full Course,0.56,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Europe,Nurburgring 24h Layout,15.77,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Europe,Nurburgring Endurance,14.83,Y,,,Y,Y,Y,Y,Y,Y,Y,,,
Europe,Nurburgring Grand Prix Track,3.2,Y,,,,Y,Y,Y,Y,Y,,,,
Europe,Nurburgring Nordschleife,12.94,Y,,,Y,Y,Y,Y,Y,Y,Y,,,
Europe,Nurburgring Sprint,2.26,Y,,,,Y,Y,Y,Y,Y,,,,
Europe,Red Bull Ring Full Course,2.68,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Red Bull Ring Short Track,1.45,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Sardegna - Road Track Layout A,3.18,,,,,Y,Y,Y,Y,Y,,,,
Europe,Sardegna - Road Track Layout A Reverse,3.18,,,,,Y,Y,Y,Y,Y,,,,
Europe,Sardegna - Road Track Layout B,2.42,,,,,Y,Y,Y,Y,Y,,,,
Europe,Sardegna - Road Track Layout B Reverse,2.42,,,,,Y,Y,Y,Y,Y,,,,
Europe,Sardegna - Road Track Layout C,1.65,,,,,Y,Y,Y,Y,Y,,,,
Europe,Sardegna - Road Track Layout C Reverse,1.65,,,,,Y,Y,Y,Y,Y,,,,
Europe,Sardegna - Windmills Full Course (Dirt),2.06,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y
Europe,Sardegna - Windmills Full Course Reverse (Dirt),2.06,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y
Americas,Special Stage Route X Full Course,18.82,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Asia-Oceania,Suzuka Circuit East Course,1.39,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,,
Asia-Oceania,Suzuka Circuit Full Course,3.61,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,,
Asia-Oceania,Tokyo Expressway Central Clockwise,2.74,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Asia-Oceania,Tokyo Expressway Central Counterclockwise,2.72,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Asia-Oceania,Tokyo Expressway East Clockwise,4.54,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Asia-Oceania,Tokyo Expressway East Counterclockwise,4.47,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Asia-Oceania,Tokyo Expressway South Clockwise,3.23,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Asia-Oceania,Tokyo Expressway South Counterclockwise,4.08,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Americas,Trial Mountain Full Course,3.38,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Americas,Trial Mountain Full Course Reverse,3.38,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Asia-Oceania,Tsukuba Circuit Full Course,1.27,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,
Americas,Watkins Glen International Long Course,3.37,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Americas,Watkins Glen International Short Course,2.45,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Americas,WeatherTech Raceway Laguna Seca Full Course,2.24,,,,,Y,Y,Y,Y,Y,Y,,,
Americas,Willow Springs International Big Willow,2.46,,,,,Y,Y,Y,Y,Y,Y,Y,,
Americas,Willow Springs International Horse Thief Mile,1.01,,,,,Y,Y,Y,Y,,,,,
Americas,Willow Springs International Horse Thief Mile Reverse,1.01,,,,,Y,Y,Y,Y,,,,,
Americas,Willow Springs International Streets of Willow Springs,1.66,,,,,Y,Y,Y,Y,Y,Y,Y,,
Americas,Willow Springs International Streets of Willow Springs Reverse,1.66,,,,,Y,Y,Y,Y,Y,Y,Y,,
Americas,Lake Louise - Tri-Oval,1.91,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y
Americas,Lake Louise - Short Track,1.6,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y
Americas,Lake Louise - Long Track,2.3,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y
Americas,Lake Louise - Tri-Oval Reverse,1.91,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y
Americas,Lake Louise - Short Track Reverse,1.6,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y
Americas,Lake Louise - Long Track Reverse,2.3,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y
